product_a,product_b,support,confidence_ab,confidence_ba,lift,pair_count
PACK OF 60 PINK PAISLEY CAKE CASES,SMALL WHITE HEART OF WICKER,0.003,0.057,0.0589,1.11,33
LARGE WHITE HEART OF WICKER,SET OF 4 PANTRY JELLY MOULDS,0.0035,0.0772,0.0501,1.11,38
HOME BUILDING BLOCK WORD,SET/20 RED RETROSPOT PAPER NAPKINS,0.0033,0.0563,0.065,1.11,36
ASSORTED COLOUR BIRD ORNAMENT,SMALL WHITE HEART OF WICKER,0.0063,0.0568,0.1232,1.11,69
60 TEATIME FAIRY CAKE CASES,HEART OF WICKER LARGE,0.0042,0.0789,0.0594,1.11,46
60 TEATIME FAIRY CAKE CASES,ALARM CLOCK BAKELIKE PINK,0.0027,0.0497,0.0595,1.11,29
SET OF 6 SPICE TINS PANTRY DESIGN,WOOD 2 DRAWER CABINET WHITE FINISH,0.0026,0.0489,0.0585,1.11,28
SET OF 4 PANTRY JELLY MOULDS,WHITE HANGING HEART T-LIGHT HOLDER,0.0127,0.1831,0.0774,1.11,139
LARGE WHITE HEART OF WICKER,RETROSPOT TEA SET CERAMIC 11 PC,0.0029,0.065,0.0499,1.11,32
JUMBO BAG APPLES,RABBIT NIGHT LIGHT,0.0031,0.0549,0.0628,1.11,34
BAKING SET 9 PIECE RETROSPOT,COLOUR GLASS T-LIGHT HOLDER HANGING,0.003,0.0493,0.0682,1.11,33
ALARM CLOCK BAKELIKE PINK,JUMBO BAG ALPHABET,0.0031,0.0698,0.0494,1.11,34
ALARM CLOCK BAKELIKE RED,JUMBO BAG ALPHABET,0.0048,0.0697,0.0756,1.11,52
ANTIQUE SILVER T-LIGHT GLASS,CHOCOLATE HOT WATER BOTTLE,0.0028,0.0651,0.0479,1.1,31
DOORMAT KEEP CALM AND COME IN,GIN + TONIC DIET METAL SIGN,0.0032,0.0625,0.0565,1.1,35
COOK WITH WINE METAL SIGN,LUNCH BAG RED RETROSPOT,0.0056,0.1117,0.0549,1.1,61
DOORMAT NEW ENGLAND,HEART OF WICKER SMALL,0.0039,0.0905,0.0481,1.1,43
NATURAL SLATE HEART CHALKBOARD,RETROSPOT HEART HOT WATER BOTTLE,0.0039,0.0484,0.0898,1.1,43
ALARM CLOCK BAKELIKE GREEN,LUNCH BAG DOLLY GIRL DESIGN,0.0032,0.0519,0.0678,1.1,35
COOK WITH WINE METAL SIGN,IVORY KITCHEN SCALES,0.0024,0.0476,0.0549,1.1,26
ALARM CLOCK BAKELIKE PINK,BAKING SET 9 PIECE RETROSPOT,0.003,0.0678,0.0493,1.1,33
GREEN REGENCY TEACUP AND SAUCER,PAPER BUNTING RETROSPOT,0.0025,0.0445,0.0614,1.1,27
60 TEATIME FAIRY CAKE CASES,SMALL WHITE HEART OF WICKER,0.003,0.0566,0.0589,1.1,33
SET/20 RED RETROSPOT PAPER NAPKINS,WOOD BLACK BOARD ANT WHITE FINISH,0.0028,0.0542,0.0559,1.1,30
DOORMAT UNION FLAG,JAM MAKING SET WITH JARS,0.003,0.0737,0.0451,1.1,33
RABBIT NIGHT LIGHT,RECIPE BOX PANTRY YELLOW DESIGN,0.0037,0.0739,0.0548,1.1,40
GIN + TONIC DIET METAL SIGN,LUNCH BAG SUKI DESIGN,0.0048,0.084,0.0626,1.1,52
GREY HEART HOT WATER BOTTLE,JUMBO  BAG BAROQUE BLACK WHITE,0.0027,0.0616,0.0474,1.1,29
GARDENERS KNEELING PAD KEEP CALM,GREEN REGENCY TEACUP AND SAUCER,0.0041,0.0611,0.0741,1.1,45
HAND OVER THE CHOCOLATE   SIGN,LUNCH BAG CARS BLUE,0.0046,0.0883,0.0571,1.1,50
ASSORTED COLOUR BIRD ORNAMENT,HAND OVER THE CHOCOLATE   SIGN,0.0063,0.0568,0.1219,1.1,69
HAND WARMER OWL DESIGN,SPACEBOY LUNCH BOX,0.0024,0.0496,0.0531,1.1,26
PACK OF 60 DINOSAUR CAKE CASES,ROSES REGENCY TEACUP AND SAUCER,0.0028,0.0668,0.0467,1.1,31
HOME BUILDING BLOCK WORD,PACK OF 60 DINOSAUR CAKE CASES,0.0028,0.0469,0.0647,1.1,30
ROSES REGENCY TEACUP AND SAUCER,SET/20 RED RETROSPOT PAPER NAPKINS,0.0034,0.0557,0.0668,1.1,37
6 RIBBONS RUSTIC CHARM,DOORMAT UNION FLAG,0.0025,0.0453,0.0603,1.1,27
PINK REGENCY TEACUP AND SAUCER,SET OF 4 PANTRY JELLY MOULDS,0.0034,0.0766,0.0487,1.1,37
HAND OVER THE CHOCOLATE   SIGN,JUMBO BAG RED RETROSPOT,0.0073,0.1413,0.057,1.1,80
DOORMAT RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.0044,0.0988,0.0489,1.1,48
ALARM CLOCK BAKELIKE RED,WOODEN PICTURE FRAME WHITE FINISH,0.0058,0.0845,0.0749,1.1,63
GREEN REGENCY TEACUP AND SAUCER,PLEASE ONE PERSON METAL SIGN,0.0036,0.0643,0.0614,1.1,39
ROSES REGENCY TEACUP AND SAUCER,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0041,0.0678,0.0667,1.1,45
LUNCH BAG VINTAGE LEAF DESIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0091,0.1803,0.0552,1.1,99
PINK REGENCY TEACUP AND SAUCER,SET/20 RED RETROSPOT PAPER NAPKINS,0.0025,0.0559,0.0487,1.1,27
JUMBO SHOPPER VINTAGE RED PAISLEY,WOODEN PICTURE FRAME WHITE FINISH,0.0058,0.085,0.0749,1.1,63
JUMBO SHOPPER VINTAGE RED PAISLEY,SET OF 6 SPICE TINS PANTRY DESIGN,0.0039,0.058,0.075,1.1,43
DOORMAT KEEP CALM AND COME IN,WOODEN FRAME ANTIQUE WHITE,0.0039,0.0768,0.0564,1.1,43
ASSORTED COLOUR BIRD ORNAMENT,PACK OF 60 PINK PAISLEY CAKE CASES,0.0065,0.0585,0.1226,1.1,71
CHILLI LIGHTS,LUNCH BAG VINTAGE DOILY,0.0019,0.0484,0.0437,1.1,21
HOT WATER BOTTLE KEEP CALM,RETROSPOT TEA SET CERAMIC 11 PC,0.0039,0.0645,0.0671,1.1,43
ALARM CLOCK BAKELIKE GREEN,DOORMAT KEEP CALM AND COME IN,0.0035,0.0563,0.0679,1.1,38
ASSORTED COLOUR BIRD ORNAMENT,LARGE WHITE HEART OF WICKER,0.0055,0.0494,0.122,1.1,60
ASSORTED COLOUR BIRD ORNAMENT,RECIPE BOX PANTRY YELLOW DESIGN,0.0082,0.0733,0.1219,1.1,89
CHILLI LIGHTS,HAND WARMER OWL DESIGN,0.0021,0.053,0.0439,1.1,23
JAM MAKING SET PRINTED,RED RETROSPOT CHARLOTTE BAG,0.0039,0.0604,0.07,1.1,42
PACK OF 72 RETROSPOT CAKE CASES,PLEASE ONE PERSON METAL SIGN,0.0049,0.064,0.0835,1.1,53
HOT WATER BOTTLE KEEP CALM,LOVE BUILDING BLOCK WORD,0.0032,0.0525,0.0672,1.1,35
PAPER BUNTING RETROSPOT,SET OF 3 CAKE TINS PANTRY DESIGN,0.0039,0.0977,0.0445,1.1,43
COOK WITH WINE METAL SIGN,LUNCH BAG  BLACK SKULL.,0.005,0.0989,0.055,1.1,54
COLOUR GLASS T-LIGHT HOLDER HANGING,SET/5 RED RETROSPOT LID GLASS BOWLS,0.003,0.0682,0.0489,1.1,33
COLOUR GLASS T-LIGHT HOLDER HANGING,LUNCH BAG  BLACK SKULL.,0.0044,0.0992,0.0489,1.1,48
LUNCH BAG WOODLAND,VICTORIAN GLASS HANGING T-LIGHT,0.0044,0.0719,0.0674,1.1,48
HEART OF WICKER LARGE,PACK OF 72 RETROSPOT CAKE CASES,0.0059,0.0827,0.0773,1.09,64
CHOCOLATE HOT WATER BOTTLE,PINK CREAM FELT CRAFT TRINKET BOX,0.0028,0.0464,0.0647,1.09,30
CHILLI LIGHTS,CHOCOLATE HOT WATER BOTTLE,0.0026,0.0645,0.0433,1.09,28
SPACEBOY LUNCH BOX,WHITE HANGING HEART T-LIGHT HOLDER,0.0081,0.1796,0.049,1.09,88
DOORMAT KEEP CALM AND COME IN,JUMBO BAG VINTAGE DOILY,0.0028,0.0554,0.0562,1.09,31
BAKING SET 9 PIECE RETROSPOT,CHARLOTTE BAG SUKI DESIGN,0.003,0.0493,0.0672,1.09,33
HOT WATER BOTTLE I AM SO POORLY,PINK REGENCY TEACUP AND SAUCER,0.0021,0.0484,0.0476,1.09,23
LUNCH BAG WOODLAND,SCOTTIE DOG HOT WATER BOTTLE,0.0037,0.0599,0.0664,1.09,40
PARTY BUNTING,POPCORN HOLDER,0.006,0.0542,0.1197,1.09,65
DOORMAT NEW ENGLAND,LUNCH BAG SPACEBOY DESIGN,0.0038,0.0863,0.0473,1.09,41
SET OF 3 CAKE TINS PANTRY DESIGN,VINTAGE SNAP CARDS,0.0052,0.0589,0.0964,1.09,57
NATURAL SLATE HEART CHALKBOARD,PAPER BUNTING RETROSPOT,0.0036,0.0439,0.0886,1.09,39
DOORMAT NEW ENGLAND,LUNCH BAG PINK POLKADOT,0.0037,0.0842,0.0475,1.09,40
60 TEATIME FAIRY CAKE CASES,JUMBO BAG ALPHABET,0.0037,0.0686,0.0581,1.09,40
DOORMAT UNION FLAG,GREY HEART HOT WATER BOTTLE,0.0019,0.0469,0.0446,1.09,21
HAND WARMER OWL DESIGN,LUNCH BAG CARS BLUE,0.0042,0.0878,0.0525,1.09,46
HOME BUILDING BLOCK WORD,LUNCH BAG RED RETROSPOT,0.0065,0.1109,0.0639,1.09,71
HAND WARMER OWL DESIGN,WOODEN PICTURE FRAME WHITE FINISH,0.004,0.084,0.0523,1.09,44
GARDENERS KNEELING PAD KEEP CALM,JAM MAKING SET WITH JARS,0.005,0.0733,0.0739,1.09,54
GARDENERS KNEELING PAD CUP OF TEA,PINK REGENCY TEACUP AND SAUCER,0.0028,0.0484,0.0621,1.09,30
GREY HEART HOT WATER BOTTLE,WOODEN FRAME ANTIQUE WHITE,0.0033,0.0764,0.0472,1.09,36
LUNCH BAG SUKI DESIGN,RABBIT NIGHT LIGHT,0.0041,0.0542,0.0832,1.09,45
HOT WATER BOTTLE KEEP CALM,JUMBO BAG ALPHABET,0.0042,0.069,0.0669,1.09,46
JAM MAKING SET PRINTED,SPACEBOY LUNCH BOX,0.0031,0.0489,0.0694,1.09,34
BAKING SET 9 PIECE RETROSPOT,HEART OF WICKER LARGE,0.0048,0.0776,0.0672,1.09,52
BAKING SET 9 PIECE RETROSPOT,HOME BUILDING BLOCK WORD,0.0039,0.0642,0.0672,1.09,43
SET OF 6 SPICE TINS PANTRY DESIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0094,0.1798,0.0574,1.09,103
DOORMAT KEEP CALM AND COME IN,WOODEN PICTURE FRAME WHITE FINISH,0.0043,0.0839,0.0559,1.09,47
LUNCH BAG WOODLAND,RETROSPOT HEART HOT WATER BOTTLE,0.0029,0.0479,0.0668,1.09,32
HAND OVER THE CHOCOLATE   SIGN,SCOTTIE DOG HOT WATER BOTTLE,0.0031,0.0601,0.0565,1.09,34
HOT WATER BOTTLE I AM SO POORLY,JUMBO BAG VINTAGE LEAF,0.003,0.0695,0.0476,1.09,33
VICTORIAN GLASS HANGING T-LIGHT,VINTAGE SNAP CARDS,0.0039,0.059,0.0711,1.09,42
GREEN REGENCY TEACUP AND SAUCER,PACK OF 72 RETROSPOT CAKE CASES,0.0046,0.0824,0.0604,1.09,50
PAPER BUNTING RETROSPOT,WOOD 2 DRAWER CABINET WHITE FINISH,0.0019,0.0477,0.0438,1.09,21
60 TEATIME FAIRY CAKE CASES,SCOTTIE DOG HOT WATER BOTTLE,0.0032,0.06,0.0581,1.09,35
HAND WARMER OWL DESIGN,JUMBO BAG ALPHABET,0.0033,0.0687,0.0523,1.09,36
GREY HEART HOT WATER BOTTLE,JUMBO BAG VINTAGE DOILY,0.0024,0.0552,0.0471,1.09,26
NATURAL SLATE HEART CHALKBOARD,SET/20 RED RETROSPOT PAPER NAPKINS,0.0045,0.0552,0.0884,1.09,49
GINGERBREAD MAN COOKIE CUTTER,VICTORIAN GLASS HANGING T-LIGHT,0.003,0.0714,0.0463,1.09,33
JUMBO BAG PINK VINTAGE PAISLEY,SET OF 3 CAKE TINS PANTRY DESIGN,0.0049,0.0965,0.0548,1.09,53
GIN + TONIC DIET METAL SIGN,GREY HEART HOT WATER BOTTLE,0.0027,0.0468,0.0616,1.09,29
GIN + TONIC DIET METAL SIGN,HANGING HEART JAR T-LIGHT HOLDER,0.0028,0.0501,0.0616,1.09,31
HOT WATER BOTTLE KEEP CALM,SPOTTY BUNTING,0.0053,0.087,0.0669,1.09,58
JAM MAKING SET WITH JARS,WOOD 2 DRAWER CABINET WHITE FINISH,0.0032,0.0479,0.0731,1.09,35
LUNCH BAG ALPHABET DESIGN,ROSES REGENCY TEACUP AND SAUCER,0.0036,0.0661,0.0587,1.09,39
LUNCH BAG  BLACK SKULL.,PARTY BUNTING,0.0107,0.1193,0.0976,1.09,117
GREY HEART HOT WATER BOTTLE,SET OF 3 REGENCY CAKE TINS,0.0023,0.0531,0.0467,1.08,25
60 TEATIME FAIRY CAKE CASES,LOVE BUILDING BLOCK WORD,0.0028,0.0515,0.0576,1.08,30
HANGING HEART JAR T-LIGHT HOLDER,JUMBO BAG RED RETROSPOT,0.0064,0.1392,0.0499,1.08,70
CHARLOTTE BAG SUKI DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.0043,0.0957,0.0486,1.08,47
LUNCH BAG RED RETROSPOT,SET OF 3 REGENCY CAKE TINS,0.0054,0.0531,0.1103,1.08,59
RETROSPOT HEART HOT WATER BOTTLE,VINTAGE SNAP CARDS,0.0026,0.0585,0.0474,1.08,28
HAND OVER THE CHOCOLATE   SIGN,SET OF 3 REGENCY CAKE TINS,0.0028,0.053,0.0561,1.08,30
HAND WARMER OWL DESIGN,JAM MAKING SET PRINTED,0.0033,0.0687,0.0518,1.08,36
PACK OF 60 PINK PAISLEY CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,0.0047,0.0881,0.0572,1.08,51
HEART OF WICKER LARGE,LUNCH BAG VINTAGE DOILY,0.0034,0.0478,0.0769,1.08,37
LUNCH BAG ALPHABET DESIGN,WOOD 2 DRAWER CABINET WHITE FINISH,0.0026,0.0475,0.0585,1.08,28
JUMBO STORAGE BAG SUKI,RETROSPOT HEART HOT WATER BOTTLE,0.0031,0.0476,0.071,1.08,34
HAND WARMER OWL DESIGN,SPOTTY BUNTING,0.0041,0.0859,0.0519,1.08,45
NATURAL SLATE HEART CHALKBOARD,PLEASE ONE PERSON METAL SIGN,0.0051,0.0631,0.0882,1.08,56
GREEN REGENCY TEACUP AND SAUCER,HAND OVER THE CHOCOLATE   SIGN,0.0031,0.056,0.0601,1.08,34
COOK WITH WINE METAL SIGN,LUNCH BAG WOODLAND,0.0033,0.0659,0.0539,1.08,36
ALARM CLOCK BAKELIKE GREEN,SET/20 RED RETROSPOT PAPER NAPKINS,0.0034,0.0548,0.0668,1.08,37
DOORMAT KEEP CALM AND COME IN,PACK OF 60 PINK PAISLEY CAKE CASES,0.0029,0.0571,0.0553,1.08,32
60 TEATIME FAIRY CAKE CASES,WOOD BLACK BOARD ANT WHITE FINISH,0.0028,0.0532,0.0577,1.08,31
JUMBO BAG VINTAGE DOILY,REX CASH+CARRY JUMBO SHOPPER,0.0039,0.0779,0.0546,1.08,43
HEART OF WICKER LARGE,PINK REGENCY TEACUP AND SAUCER,0.0034,0.0478,0.0766,1.08,37
GREEN REGENCY TEACUP AND SAUCER,LUNCH BAG DOLLY GIRL DESIGN,0.0028,0.0511,0.0601,1.08,31
LOVE BUILDING BLOCK WORD,RETROSPOT TEA SET CERAMIC 11 PC,0.003,0.0633,0.0515,1.08,33
DOORMAT KEEP CALM AND COME IN,LOVE BUILDING BLOCK WORD,0.0027,0.0518,0.0557,1.08,29
HOME BUILDING BLOCK WORD,SET OF 4 PANTRY JELLY MOULDS,0.0044,0.075,0.0632,1.08,48
GINGERBREAD MAN COOKIE CUTTER,JUMBO  BAG BAROQUE BLACK WHITE,0.0026,0.0606,0.0458,1.08,28
LUNCH BAG DOLLY GIRL DESIGN,ROSES REGENCY TEACUP AND SAUCER,0.0031,0.0659,0.0512,1.08,34
LUNCH BAG PINK POLKADOT,WOOD 2 DRAWER CABINET WHITE FINISH,0.0037,0.0475,0.0835,1.08,40
HOT WATER BOTTLE TEA AND SYMPATHY,WOOD 2 DRAWER CABINET WHITE FINISH,0.0021,0.0476,0.048,1.08,23
HEART OF WICKER LARGE,RETROSPOT TEA SET CERAMIC 11 PC,0.0045,0.0633,0.0764,1.08,49
GREY HEART HOT WATER BOTTLE,ROSES REGENCY TEACUP AND SAUCER,0.0028,0.0658,0.0467,1.08,31
BAKING SET 9 PIECE RETROSPOT,LUNCH BAG RED RETROSPOT,0.0068,0.1104,0.0666,1.08,74
PACK OF 72 RETROSPOT CAKE CASES,WOODEN PICTURE FRAME WHITE FINISH,0.0063,0.0833,0.082,1.08,69
DOORMAT UNION FLAG,LUNCH BAG CARS BLUE,0.0036,0.0871,0.0445,1.08,39
JUMBO BAG VINTAGE LEAF,SET/20 RED RETROSPOT PAPER NAPKINS,0.0035,0.0548,0.0686,1.08,38
HOT WATER BOTTLE KEEP CALM,LUNCH BAG SPACEBOY DESIGN,0.0052,0.0855,0.0657,1.08,57
CHARLOTTE BAG SUKI DESIGN,SET OF 3 REGENCY CAKE TINS,0.0024,0.053,0.0486,1.08,26
JUMBO BAG VINTAGE LEAF,RECIPE BOX PANTRY YELLOW DESIGN,0.0046,0.072,0.0685,1.08,50
CLOTHES PEGS RETROSPOT PACK 24,LUNCH BAG ALPHABET DESIGN,0.0028,0.0583,0.0525,1.08,31
COOK WITH WINE METAL SIGN,ROSES REGENCY TEACUP AND SAUCER,0.0033,0.0659,0.0542,1.08,36
LARGE WHITE HEART OF WICKER,SET/20 RED RETROSPOT PAPER NAPKINS,0.0025,0.0549,0.0487,1.08,27
HOT WATER BOTTLE I AM SO POORLY,SET/20 RED RETROSPOT PAPER NAPKINS,0.0024,0.0547,0.0469,1.08,26
LOVE BUILDING BLOCK WORD,PINK CREAM FELT CRAFT TRINKET BOX,0.0022,0.0461,0.0517,1.08,24
CLOTHES PEGS RETROSPOT PACK 24,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0036,0.0733,0.0526,1.08,39
GIN + TONIC DIET METAL SIGN,PAPER BUNTING RETROSPOT,0.0025,0.0436,0.0614,1.08,27
CHOCOLATE HOT WATER BOTTLE,DOORMAT RED RETROSPOT,0.0028,0.0479,0.0638,1.08,31
IVORY KITCHEN SCALES,LUNCH BAG CARS BLUE,0.0038,0.0865,0.0468,1.08,41
PAPER CHAIN KIT VINTAGE CHRISTMAS,WOOD 2 DRAWER CABINET WHITE FINISH,0.0028,0.0475,0.0647,1.08,31
JUMBO STORAGE BAG SUKI,PAPER BUNTING RETROSPOT,0.0028,0.0434,0.0705,1.08,31
GINGERBREAD MAN COOKIE CUTTER,LUNCH BAG  BLACK SKULL.,0.0041,0.0974,0.0459,1.08,45
DOORMAT NEW ENGLAND,HOT WATER BOTTLE KEEP CALM,0.0028,0.0653,0.0465,1.07,31
HEART OF WICKER SMALL,LUNCH BAG PINK POLKADOT,0.0068,0.0828,0.0879,1.07,74
HAND OVER THE CHOCOLATE   SIGN,LUNCH BAG SUKI DESIGN,0.0042,0.0813,0.0554,1.07,46
6 RIBBONS RUSTIC CHARM,JUMBO BAG PINK VINTAGE PAISLEY,0.0029,0.0537,0.0583,1.07,32
JUMBO BAG APPLES,VINTAGE SNAP CARDS,0.0033,0.0582,0.0609,1.07,36
GREY HEART HOT WATER BOTTLE,POPCORN HOLDER,0.0023,0.0531,0.046,1.07,25
NATURAL SLATE HEART CHALKBOARD,REGENCY CAKESTAND 3 TIER,0.0104,0.1273,0.0871,1.07,113
CHOCOLATE HOT WATER BOTTLE,WHITE HANGING HEART T-LIGHT HOLDER,0.0105,0.1762,0.0635,1.07,114
ALARM CLOCK BAKELIKE RED,LUNCH BAG WOODLAND,0.0045,0.0657,0.0734,1.07,49
CHILLI LIGHTS,REGENCY CAKESTAND 3 TIER,0.005,0.1267,0.0424,1.07,55
JAM MAKING SET PRINTED,RED HANGING HEART T-LIGHT HOLDER,0.0039,0.0619,0.0685,1.07,43
GINGERBREAD MAN COOKIE CUTTER,WHITE HANGING HEART T-LIGHT HOLDER,0.0074,0.1753,0.0451,1.07,81
JUMBO BAG VINTAGE DOILY,PACK OF 72 RETROSPOT CAKE CASES,0.0041,0.0815,0.0543,1.07,45
HAND OVER THE CHOCOLATE   SIGN,HAND WARMER OWL DESIGN,0.0027,0.0512,0.0553,1.07,29
ASSORTED COLOUR BIRD ORNAMENT,GREY HEART HOT WATER BOTTLE,0.0051,0.0461,0.1189,1.07,56
BAKING SET 9 PIECE RETROSPOT,JUMBO STORAGE BAG SUKI,0.0043,0.0701,0.0658,1.07,47
RETROSPOT TEA SET CERAMIC 11 PC,WOOD 2 DRAWER CABINET WHITE FINISH,0.0028,0.0468,0.0626,1.07,30
GREEN REGENCY TEACUP AND SAUCER,RETROSPOT TEA SET CERAMIC 11 PC,0.0035,0.0626,0.0593,1.07,38
JAM MAKING SET PRINTED,LUNCH BAG SPACEBOY DESIGN,0.0054,0.0849,0.0681,1.07,59
LOVE BUILDING BLOCK WORD,SPACEBOY LUNCH BOX,0.0023,0.048,0.051,1.07,25
ASSORTED COLOUR BIRD ORNAMENT,GIN + TONIC DIET METAL SIGN,0.0068,0.061,0.1195,1.07,74
HAND WARMER OWL DESIGN,ROSES REGENCY TEACUP AND SAUCER,0.0031,0.0649,0.0512,1.07,34
DOORMAT UNION FLAG,JUMBO  BAG BAROQUE BLACK WHITE,0.0025,0.0603,0.0441,1.07,27
PINK CREAM FELT CRAFT TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER,0.0075,0.1767,0.0457,1.07,82
GREY HEART HOT WATER BOTTLE,LUNCH BAG SPACEBOY DESIGN,0.0037,0.0849,0.0461,1.07,40
GIN + TONIC DIET METAL SIGN,REX CASH+CARRY JUMBO SHOPPER,0.0044,0.0775,0.0609,1.07,48
HEART OF WICKER LARGE,LUNCH BAG RED RETROSPOT,0.0077,0.1085,0.0756,1.07,84
HOT WATER BOTTLE I AM SO POORLY,LUNCH BAG DOLLY GIRL DESIGN,0.0022,0.0505,0.0465,1.07,24
JAM MAKING SET WITH JARS,LUNCH BAG WOODLAND,0.0044,0.0657,0.0719,1.07,48
COOK WITH WINE METAL SIGN,JAM MAKING SET WITH JARS,0.0036,0.0714,0.0534,1.07,39
ALARM CLOCK BAKELIKE GREEN,LUNCH BAG APPLE DESIGN,0.0045,0.0726,0.0664,1.07,49
JUMBO BAG PINK VINTAGE PAISLEY,PINK REGENCY TEACUP AND SAUCER,0.0024,0.0474,0.0538,1.07,26
GREY HEART HOT WATER BOTTLE,WOODEN PICTURE FRAME WHITE FINISH,0.0036,0.0828,0.0464,1.07,39
PACK OF 72 RETROSPOT CAKE CASES,WOOD 2 DRAWER CABINET WHITE FINISH,0.0036,0.0471,0.0814,1.07,39
HAND OVER THE CHOCOLATE   SIGN,LUNCH BAG SPACEBOY DESIGN,0.0044,0.0848,0.0554,1.07,48
JUMBO BAG ALPHABET,PACK OF 60 PINK PAISLEY CAKE CASES,0.0036,0.0567,0.0674,1.07,39
GARDENERS KNEELING PAD CUP OF TEA,NATURAL SLATE HEART CHALKBOARD,0.005,0.0871,0.0608,1.07,54
DOORMAT UNION FLAG,LUNCH BAG SPACEBOY DESIGN,0.0035,0.0848,0.0438,1.07,38
REGENCY CAKESTAND 3 TIER,WOODEN FRAME ANTIQUE WHITE,0.0089,0.0748,0.1273,1.07,97
SET OF 6 SPICE TINS PANTRY DESIGN,WOOD BLACK BOARD ANT WHITE FINISH,0.0028,0.0524,0.0559,1.06,30
CHOCOLATE HOT WATER BOTTLE,DOORMAT NEW ENGLAND,0.0028,0.0464,0.0632,1.06,30
JUMBO BAG APPLES,RECIPE BOX PANTRY YELLOW DESIGN,0.004,0.0711,0.0603,1.06,44
ALARM CLOCK BAKELIKE RED,PAPER BUNTING RETROSPOT,0.0029,0.0429,0.0727,1.06,32
GIN + TONIC DIET METAL SIGN,PARTY BUNTING,0.0066,0.1163,0.0601,1.06,72
LARGE WHITE HEART OF WICKER,PINK REGENCY TEACUP AND SAUCER,0.0021,0.0467,0.0476,1.06,23
CHILLI LIGHTS,ROSES REGENCY TEACUP AND SAUCER,0.0026,0.0645,0.0422,1.06,28
HOT WATER BOTTLE KEEP CALM,PACK OF 60 DINOSAUR CAKE CASES,0.0028,0.045,0.0647,1.06,30
LUNCH BAG VINTAGE DOILY,ROSES REGENCY TEACUP AND SAUCER,0.0028,0.0644,0.0467,1.06,31
GREEN REGENCY TEACUP AND SAUCER,HOT WATER BOTTLE I AM SO POORLY,0.0026,0.0461,0.0589,1.06,28
JUMBO BAG PINK POLKADOT,NATURAL SLATE HEART CHALKBOARD,0.0063,0.0865,0.0777,1.06,69
LUNCH BAG CARS BLUE,PARTY BUNTING,0.0094,0.1164,0.0851,1.06,102
GINGERBREAD MAN COOKIE CUTTER,JUMBO STORAGE BAG SUKI,0.0029,0.0693,0.0448,1.06,32
GINGERBREAD MAN COOKIE CUTTER,NATURAL SLATE HEART CHALKBOARD,0.0037,0.0866,0.045,1.06,40
ALARM CLOCK BAKELIKE GREEN,WOODEN PICTURE FRAME WHITE FINISH,0.005,0.0815,0.0654,1.06,55
DOORMAT KEEP CALM AND COME IN,WOOD 2 DRAWER CABINET WHITE FINISH,0.0024,0.0464,0.0543,1.06,26
PINK CREAM FELT CRAFT TRINKET BOX,ROSES REGENCY TEACUP AND SAUCER,0.0028,0.0647,0.0452,1.06,30
JUMBO BAG PINK POLKADOT,POPCORN HOLDER,0.0039,0.0526,0.0773,1.06,42
PLEASE ONE PERSON METAL SIGN,VICTORIAN GLASS HANGING T-LIGHT,0.004,0.0693,0.0618,1.06,44
SET OF 6 SPICE TINS PANTRY DESIGN,VINTAGE SNAP CARDS,0.003,0.0576,0.0558,1.06,33
JUMBO BAG RED RETROSPOT,SET OF 3 CAKE TINS PANTRY DESIGN,0.0121,0.094,0.1365,1.06,132
DOORMAT RED RETROSPOT,SET OF 4 PANTRY JELLY MOULDS,0.0033,0.0741,0.0474,1.06,36
JUMBO  BAG BAROQUE BLACK WHITE,WOOD BLACK BOARD ANT WHITE FINISH,0.0029,0.0523,0.0596,1.06,32
COOK WITH WINE METAL SIGN,GREY HEART HOT WATER BOTTLE,0.0023,0.0458,0.0531,1.06,25
JAM MAKING SET PRINTED,JUMBO BAG RED RETROSPOT,0.0087,0.1367,0.0677,1.06,95
PLEASE ONE PERSON METAL SIGN,ROSES REGENCY TEACUP AND SAUCER,0.0038,0.0646,0.0617,1.06,41
CLOTHES PEGS RETROSPOT PACK 24,RABBIT NIGHT LIGHT,0.0026,0.0526,0.0518,1.06,28
JAM MAKING SET PRINTED,LUNCH BAG CARS BLUE,0.0054,0.0849,0.0674,1.06,59
GINGERBREAD MAN COOKIE CUTTER,SET OF 3 REGENCY CAKE TINS,0.0022,0.0519,0.0449,1.06,24
ALARM CLOCK BAKELIKE GREEN,JUMBO BAG 50'S CHRISTMAS,0.0032,0.0519,0.0655,1.06,35
COOK WITH WINE METAL SIGN,JAM MAKING SET PRINTED,0.0034,0.0678,0.0532,1.06,37
LUNCH BAG  BLACK SKULL.,SET OF 3 REGENCY CAKE TINS,0.0047,0.052,0.0953,1.06,51
DOORMAT KEEP CALM AND COME IN,JUMBO BAG PINK VINTAGE PAISLEY,0.0028,0.0536,0.0546,1.06,30
